,Home Wins,Away Wins,Home Wins %,Away Wins %,Home-Away Wins %,Teams
0,32,26,781,635,146,MIL
1,32,25,781,610,171,BOS
2,29,25,708,610,98,PHI
3,34,19,830,464,366,DEN
4,35,16,854,391,463,MEM
5,31,20,757,488,269,CLE
6,23,25,561,610,-49,SAC
7,23,24,561,586,-25,NYK
8,28,17,683,415,268,PHX
9,23,22,561,537,24,BKN
10,27,17,659,415,244,MIA
11,23,21,561,513,48,LAC
12,33,11,805,269,536,GSW
13,23,20,561,488,73,LAL
14,22,20,537,488,49,MIN
15,27,15,659,366,293,NOP
16,24,17,586,415,171,ATL
17,27,14,659,342,317,TOR
18,22,18,537,440,97,CHI
19,24,16,586,391,195,OKC
20,23,15,561,366,195,DAL
21,23,14,561,342,219,UTA
22,20,15,488,366,122,IND
23,19,16,464,391,73,WAS
24,20,14,488,342,146,ORL
25,17,16,415,391,24,POR
26,13,14,318,342,-24,CHA
27,14,8,342,196,146,HOU
28,14,8,342,196,146,SAS
29,9,8,220,196,24,DET
