,Home Wins,Away Wins,Home Wins %,Away Wins %,Home-Away Wins %,Teams
0,31,21,76,52,24,UTA
1,27,24,66,59,7,PHX
2,29,20,71,49,22,PHI
3,28,20,69,49,20,BKN
4,25,22,61,54,7,DEN
5,26,21,64,52,12,LAC
6,26,20,64,49,15,MIL
7,21,21,52,52,0,DAL
8,21,21,52,52,0,LAL
9,20,22,49,54,-5,POR
10,25,16,61,40,21,ATL
11,25,16,61,40,21,NYK
12,21,19,52,47,5,MIA
13,25,14,61,35,26,GSW
14,18,20,44,49,-5,MEM
15,21,15,52,37,15,BOS
16,19,15,47,37,10,WSH
17,13,21,32,52,-20,IND
18,14,19,35,47,-12,SAS
19,18,15,44,37,7,CHA
20,18,13,44,32,12,NOP
21,15,16,37,40,-3,CHI
22,16,15,40,37,3,SAC
23,16,11,40,27,13,TOR
24,13,10,32,25,7,MIN
25,13,9,32,22,10,CLE
26,10,12,25,30,-5,OKC
27,11,10,27,25,2,ORL
28,13,7,32,18,14,DET
29,9,8,22,20,2,HOU
